Lineage,Country,Localitynew,Latitude,Longitude_c,Island,Sex,Bill,Wing
Tyto alba,Nigeria,Zaria,11.08,7.7005,0,1,186,290
Tyto alba,Nigeria,Zaria,11.08,7.7,0,2,198,282
Tyto alba,Nigeria,Borno,11.72,13.15,0,NA,205,285
Tyto alba,Nigeria,Sokoto,13.05,5.15,0,NA,182,278
Tyto alba,Nigeria,Zania,7.23,3.55,0,2,181,290
Tyto alba,Rwanda,Rwanda,-2,30,0,NA,198,303
Tyto alba,Rwanda,Rwanda,-2,30.0005,0,NA,185,289
Tyto alba,Rwanda,Rwanda,-2,30.001,0,NA,188,282
Tyto alba,Rwanda,Rwanda,-2,30.0015,0,2,188,297
Tyto alba,Rwanda,KivuRW,-2.1,29.29,0,1,201,291
Tyto alba,Rwanda,KivuRW,-2.1,29.2905,0,1,182,259
Tyto alba,Congo_Belge_Zaire,Tshibati,-2.28,28.7,0,1,166,290
Tyto alba,Rwanda,Rwanda,-2,30.002,0,NA,181,290
Tyto alba,Rwanda,Astrida,-2.61,29.73,0,1,192,280
Tyto alba,Rwanda,Astrida,-2.61,29.731,0,2,191,290
Tyto alba,Rwanda,Astrida,-2.61,29.7325,0,NA,202,293
Tyto alba,Rwanda,Astrida,-2.61,29.7315,0,NA,190,302
Tyto alba,Rwanda,Gisagara,-2.61,29.85,0,NA,192,290
Tyto alba,Rwanda,Kigali,-1.96,30.0905,0,2,195,279
Tyto alba,Rwanda,Kigali,-1.96,30.091,0,2,192,302
Tyto alba,Rwanda,LacMugesera,-2.12,30.34,0,1,191,285
Tyto alba,Rwanda,Nyanza,-2.35,29.75,0,NA,188,295
Tyto alba,Senegal,Tieès,14.77,-16.93,0,1,184,284
Tyto alba,Senegal,Tieès,14.77,-16.9305,0,2,194,279
Tyto alba,Senegal,Dakar,14.76,-17.26,0,2,201,281
Tyto alba,Senegal,Dakar,14.76,-17.2605,0,1,183,271
Tyto alba,Senegal,Tieès,14.77,-16.931,0,1,180,284
Tyto alba,Senegal,Dagana,16.51,-15.5,0,2,218,288
Tyto alba,Gambia,RiverGanbia,13.54,-15.37,0,NA,185,278
Tyto alba,Sierra_Leone,Freetown,8.45,-13.23,0,NA,197,279
Tyto alba,Sierra_Leone,Masanga,8.75,-11.84,0,2,197,284
Tyto alba,Sierra_Leone,SierraLeone,8.52,-11.68,0,NA,191,294
Tyto alba,Soudan,Kaka,10.54,32.11,0,1,195,282
Tyto alba,Soudan,Whitenile,13.19,32.74,0,1,223,272
Tyto alba,Soudan,Abri,20.79,30.351,0,2,203,289
Tyto alba,Soudan,Abri,20.79,30.3505,0,1,192,272
Tyto alba,Soudan,Abri,20.79,30.3515,0,1,195,280
Tyto alba,Soudan,Kabushea,16.88,33.71,0,1,203,292
Tyto alba,Soudan,Kabushea,16.88,33.7105,0,2,196,286
Tyto alba,Soudan,Kabushea,16.88,33.711,0,2,203,277
Tyto alba,Soudan,Kabushea,16.88,33.7115,0,NA,198,300
Tyto alba,Soudan,Kabushea,16.88,33.712,0,NA,182,289
Tyto alba,Soudan,Khartoum,15.52,32.55,0,1,174,280
Tyto alba,Soudan,Khartoum,15.52,32.5505,0,2,198,284
Tyto alba,Soudan,Khartoum,15.52,32.551,0,2,198,293
Tyto alba,Soudan,BLUENILE,13.15,33.801,0,1,188,293
Tyto alba,Soudan,BLUENILE,13.15,33.8005,0,2,202,288
Tyto alba,Soudan,BLUENILE,13.15,33.8,0,2,188,288
Tyto alba,Soudan,BahrElZeraf,9.41,31.16,0,2,192,288
Tyto alba,Soudan,BaroRiver,8.46,33.46,0,2,211,292
Tyto alba,Soudan,Gebelaulia,15.23,32.52,0,1,207,281
Tyto alba,Soudan,GebelZeraf,15.8,31.1705,0,1,199,292
Tyto alba,Soudan,GebelZeraf,15.8,31.17,0,2,204,291
Tyto alba,Soudan,Suakim,19.1,37.33,0,NA,197,294
Tyto alba,Soudan,Khartoum,15.52,32.5515,0,1,196,252
Tyto alba,Soudan,Kurdufan,13.11,30.13,0,1,181,293
Tyto alba,Soudan,Shendi,16.66,33.53,0,1,194,292
Tyto alba,Soudan,Shendi,16.66,33.5305,0,1,201,303
Tyto alba,Soudan,Shendi,16.66,33.531,0,2,185,270
Tyto alba,Soudan,Torit,4.41,32.57,0,2,210,298
Tyto alba,Soudan,Whitenile,13.19,32.741,0,2,192,273
Tyto alba,Soudan,Torit,4.41,32.5705,0,NA,194,285
Tyto alba,Soudan,Whitenile,13.19,32.7415,0,1,223,272
Tyto alba,Soudan,Khartoum,15.52,32.552,0,2,213,298
Tyto alba,South_Africa,Bainsvlei,-29.07,26.13,0,1,183,276
Tyto alba,Botswana,Savuti,-18.5,24.1,0,2,206,295
Tyto alba,South_Africa,Bloemfontein,-29.13,26.2005,0,2,196,287
Tyto alba,South_Africa,Durban,-29.85,31.03,0,1,179,292
Tyto alba,South_Africa,BonneEspérance,-34.27,18.42,0,NA,200,290
Tyto alba,South_Africa,BonneEspérance,-34.27,18.4205,0,NA,190,316
